match_id,team_name,opponent_name,t_minute,rolling_xg_5,shots_5,opp_rolling_xg_5,opp_shots_5,xg_diff_5,shot_next_2,goal_next_5,game_state,half,match_score_for,match_score_against
3857254,Denmark,Tunisia,5,0.0,0,0.0,0,0.0,0,0,tied,1,1,0
3857254,Denmark,Tunisia,6,0.0,0,0.0,0,0.0,0,0,tied,1,1,0
3857254,Denmark,Tunisia,7,0.0,0,0.0,0,0.0,1,0,tied,1,1,0
3857254,Denmark,Tunisia,8,0.0,0,0.0,0,0.0,1,0,tied,1,1,0
3857254,Denmark,Tunisia,9,0.08509644,1,0.0,0,0.08509644,0,0,tied,1,1,0
3857254,Denmark,Tunisia,10,0.08509644,1,0.0,0,0.08509644,1,0,tied,1,1,0
3857254,Denmark,Tunisia,11,0.08509644,1,0.0,0,0.08509644,1,0,tied,1,1,0
3857254,Denmark,Tunisia,12,0.17019288,2,0.020917216,1,0.149275664,0,0,tied,1,1,0
3857254,Denmark,Tunisia,13,0.17019288,2,0.020917216,1,0.149275664,0,0,tied,1,1,0
3857254,Denmark,Tunisia,14,0.08509644,1,0.080503808,2,0.0045926319999999,0,0,tied,1,1,0
3857254,Denmark,Tunisia,15,0.08509644,1,0.080503808,2,0.0045926319999999,0,0,tied,1,1,0
3857254,Denmark,Tunisia,16,0.08509644,1,0.080503808,2,0.0045926319999999,0,0,tied,1,1,0
3857254,Denmark,Tunisia,17,0.0,0,0.059586592,1,-0.059586592,0,0,tied,1,1,0
3857254,Denmark,Tunisia,18,0.0,0,0.131675352,2,-0.131675352,0,0,tied,1,1,0
3857254,Denmark,Tunisia,19,0.0,0,0.07208876,1,-0.07208876,0,0,tied,1,1,0
3857254,Denmark,Tunisia,20,0.0,0,0.07208876,1,-0.07208876,0,0,tied,1,1,0
3857254,Denmark,Tunisia,21,0.0,0,0.093005976,2,-0.093005976,0,0,tied,1,1,0
3857254,Denmark,Tunisia,22,0.0,0,0.093005976,2,-0.093005976,0,0,tied,1,1,0
3857254,Denmark,Tunisia,23,0.0,0,0.020917216,1,-0.020917216,0,0,tied,1,1,0
3857254,Denmark,Tunisia,24,0.0,0,0.020917216,1,-0.020917216,0,0,tied,1,1,0
3857254,Denmark,Tunisia,25,0.0,0,0.020917216,1,-0.020917216,0,0,tied,1,1,0
3857254,Denmark,Tunisia,26,0.0,0,0.0,0,0.0,0,0,tied,1,1,0
3857254,Denmark,Tunisia,27,0.0,0,0.0,0,0.0,0,0,tied,1,1,0
3857254,Denmark,Tunisia,28,0.0,0,0.0,0,0.0,0,0,tied,1,1,0
3857254,Denmark,Tunisia,29,0.0,0,0.0,0,0.0,0,0,tied,1,1,0
3857254,Denmark,Tunisia,30,0.0,0,0.07208876,1,-0.07208876,0,0,tied,1,1,0
3857254,Denmark,Tunisia,31,0.0,0,0.07208876,1,-0.07208876,0,0,tied,1,1,0
3857254,Denmark,Tunisia,32,0.0,0,0.07208876,1,-0.07208876,1,0,tied,1,1,0
3857254,Denmark,Tunisia,33,0.0,0,0.07208876,1,-0.07208876,1,0,tied,1,1,0
3857254,Denmark,Tunisia,34,0.02765422,1,0.086148434,2,-0.0584942139999999,0,0,tied,1,1,0
3857254,Denmark,Tunisia,35,0.02765422,1,0.014059674,1,0.013594546,0,0,tied,1,1,0
3857254,Denmark,Tunisia,36,0.02765422,1,0.014059674,1,0.013594546,0,0,tied,1,1,0
3857254,Denmark,Tunisia,37,0.02765422,1,0.014059674,1,0.013594546,0,0,tied,1,1,0
3857254,Denmark,Tunisia,38,0.02765422,1,0.014059674,1,0.013594546,1,0,tied,1,1,0
